maxRad minRad
60.109268 32.204046
61.339790 32.645559
60.782503 31.075946
62.649175 33.172081
59.353821 30.920410
54.516564 27.039545
56.820511 29.218030
58.751207 31.147186
55.669287 29.461931
58.495467 30.240545
58.702286 31.411272
56.307706 29.624732
55.735933 29.353076
57.327320 30.520726
56.666482 29.646139
56.730646 29.664466
57.618298 29.607559
57.333434 31.196091
59.797976 31.885017
62.925981 33.012012
59.976920 31.261177
60.753424 32.476554
60.162902 30.840198
55.982676 29.027285
59.188872 31.036863
56.583127 28.544607
58.370545 29.697292
58.622894 30.332868
54.518204 28.655780
57.176273 29.192333
57.227180 30.204849
59.267080 30.893510
60.578916 31.824910
52.876126 27.384144
74.007080 45.005056
61.502049 31.900637
60.770225 31.491934
60.753950 31.696955
61.247507 32.562439
64.345957 33.682174
61.964664 31.308977
60.362174 30.668639
60.837279 31.900637
60.209714 31.447573
60.606199 30.930705
61.337729 32.071813
56.215134 28.927956
60.635280 31.900637
60.988888 32.067388
60.116278 31.915006
59.631885 31.200163
61.117910 32.252953
61.865046 32.477747
60.676823 31.792970
59.317312 31.176563
59.552942 31.588739
59.000000 31.175723
58.863088 30.821508
62.091435 32.323813
61.693884 32.574775
55.587489 29.293239
55.625521 28.230509
60.612425 32.288933
59.950697 31.330180
64.049005 32.723898
55.053588 28.882034
60.677727 31.824910
61.512294 32.324735
60.533324 31.640941
60.326213 31.911442
58.646642 30.222089
58.132374 30.408193
60.453261 31.640464
60.753950 32.142535
59.864259 31.000242
61.428123 32.055329
61.165320 32.088024
60.504696 30.611368
58.881688 30.749425
59.857363 31.296405
58.245157 30.282588
53.321954 27.794688
57.645304 30.120850
58.830952 30.769695
62.744584 32.770460
58.355748 30.804737
59.850862 31.712978
60.807545 31.901724
60.514156 31.700037
58.809519 30.365780
61.425167 32.453091
58.158783 30.320295
58.381344 30.274150
59.951661 31.504032
58.752310 30.789943
61.788253 32.663644
59.915106 31.223975
57.495614 28.158633
63.178547 33.108536
58.104638 29.526377
59.991658 31.824910
60.958639 31.640464
56.902460 29.530317
61.961303 32.000500
57.480534 29.279333
60.770225 32.079265
60.494945 31.824910
58.697080 30.215401
60.269975 31.009215
60.678812 31.508588
59.641962 31.330180
59.982307 31.267231
55.187766 27.564282
55.404462 28.078076
60.960807 31.903023
59.815109 31.496099
60.604076 31.491934
50.853273 25.723997
60.242484 31.813530
56.292223 29.142168
54.475925 28.731188
60.886403 32.223685
52.955338 28.040879
59.639385 30.548721
57.008849 29.420507
58.264564 30.408875
60.892466 31.000242
61.644135 32.170618
59.349992 31.364769
56.309782 29.594673
59.424129 30.603986
61.062490 29.860356
60.470630 31.497875
60.940053 29.518469
61.820877 32.077134
60.593724 32.252953
63.543636 33.096086
61.133305 32.108971
56.724941 29.731832
60.892466 31.840083
59.345257 30.650125
58.489260 29.622931
62.508064 33.149655
60.919368 31.821983
61.439782 32.319805
59.002137 30.950780
61.683594 32.311050
58.372734 30.872685
58.914467 30.016944
61.010305 31.984123
60.652611 31.681103
60.618330 32.008859
61.639633 32.582779
60.512794 32.193848
60.342456 31.884786
59.534706 30.769695
59.614696 29.934967
59.832208 31.584562
59.562862 30.101943
61.099312 32.079265
60.494865 31.360587
57.419332 30.084950
58.071864 30.202693
61.030984 31.175723
58.143842 29.457084
60.546446 31.433456
55.785696 28.774722
57.289776 29.811369
61.250971 32.515977
61.250971 32.749631
58.106490 29.747506
59.487426 30.509316
60.834484 31.508588
56.191224 31.710874
64.072007 34.098323
61.026859 32.064337
61.528790 32.144692
59.093926 30.727290
59.944900 31.548349
57.618298 29.607559
57.333434 31.196091
59.797976 31.885017
58.001246 29.548831
60.320660 32.480582
58.555585 31.200418
59.905387 31.740999
63.753887 34.400590
57.904721 30.583218
61.788253 32.675301
57.189448 29.817446
58.139445 30.704022
59.026247 31.224530
59.786561 31.661023
58.820300 30.879276
60.094823 31.756999
58.232504 30.207882
58.746956 30.803300
61.261707 32.358225
58.942142 31.206902
57.870176 30.649627
61.974536 32.142535
60.791090 31.832131
61.033086 31.904721
63.518628 32.695676
61.315294 32.629577
62.235322 32.316890
60.574953 32.035694
61.315294 30.608138
61.206260 32.142535
56.020267 29.103732
57.496993 29.316122
59.801548 31.409468
63.099532 33.576570
58.442353 31.016485
60.165849 31.313656
57.185631 30.516662
57.282819 30.611368
56.615163 29.140891
57.028075 30.624856
58.804274 31.458414
60.378794 31.717131
60.618225 31.840868
53.350663 27.587959
59.027478 31.816254
60.039903 31.102446
64.536428 34.311980
59.150089 30.729025
56.716475 29.621104
58.060837 29.512609
60.116733 31.232325
60.101936 31.813530
