maxRad minRad
[59.53470621080554] [30.769695149512895]
[59.6146963126016] [29.934967158996404]
[59.83220833610755] [31.584562084739105]
[59.56286194679743] [30.10194348194782]
[61.09931245790374] [32.079265349276255]
[60.494865302039415] [31.360586663604206]
[57.419332131669364] [30.084950427661376]
[58.071863867875216] [30.202693480558292]
[61.030983801686226] [31.175723300355934]
[58.14384214706703] [29.457083681070163]
[60.546445681294514] [31.433455969626998]
[55.78569632624201] [28.77472151132898]
[57.28977635904654] [29.811368641319767]
[61.2509709665021] [32.51597735754408]
[61.2509709665021] [32.74963050113668]
[58.106490302742806] [29.747505831970173]
[59.487426088573294] [30.50931589472574]
[60.83448433524563] [31.50858781273802]
[56.19122363260841] [31.71087401666354]
[64.0720071187524] [34.098323434992274]
[61.0268586225331] [32.064337438938644]
[61.52879034034367] [32.14469156476744]
[59.09392627707453] [30.727290164180946]
[59.944899676378] [31.54834939252005]
[57.618298293979315] [29.607559155655768]
[57.333433783240906] [31.196090956341656]
[59.79797635670209] [31.885016886837548]
[58.00124553469129] [29.548831000076138]
[60.32065972521834] [32.48058194541096]
[58.55558514041808] [31.200417552496514]
[59.905386961116584] [31.740998703626616]
[63.75388745864365] [34.40058996536786]
[57.90472119960974] [30.583217912982647]
[61.78825336065631] [32.67530108639234]
[57.18944848697766] [29.817446179887376]
[58.13944477498167] [30.704022459916583]
[59.026247333733785] [31.224530450976356]
[59.78656094793483] [31.661023173903274]
[58.82030003737724] [30.87927567643771]
[60.09482263159175] [31.75699921617557]
[58.23250408542752] [30.20788172400058]
[58.746955673768795] [30.80330015031366]
[61.261706698894336] [32.35822538142534]
[58.94214205099819] [31.206902273255555]
[57.87017648373907] [30.64962686336267]
[61.974535512908226] [32.142534664593484]
[60.79109040080011] [31.832131242263273]
[61.03308553546931] [31.90472104066584]
[63.51862760859412] [32.69567586083039]
[61.315294129026455] [32.62957662920189]
[62.235322142190206] [32.31689016660842]
[60.57495318350236] [32.03569406244296]
[61.315294129026455] [30.608138434649195]
[61.20625997374571] [32.142534664593484]
[56.020266569965244] [29.10373200785303]
[57.49699298314011] [29.316121802554292]
[59.801547864112074] [31.409468299303477]
[63.099531621098365] [33.57656991788159]
[58.442353387219114] [31.01648520259072]
[60.16584936395581] [31.313655958936742]
[57.18563147764275] [30.51666203960727]
[57.28281947549994] [30.611368060009916]
[56.61516258886645] [29.140890785728015]
[57.02807529007158] [30.624855604761926]
